time,H(sa),H(da),H(sp),H(dp),H(flg),H(byt),Flows,Bytes
2016-06-22 00:00:00,5.873995354342187,5.949129145737922,5.8236026663737315,5.413212243428888,1.6860980034748692,6.027343344704787,103008,1517008910
2016-06-22 00:30:00,5.302362818635888,5.3136161802037085,5.7403091277394775,5.512206015579693,1.8572916039780414,5.564324177305348,122644,1342074948
2016-06-22 01:00:00,5.838056084461419,5.878422951705848,5.686597495605551,5.241389858627182,1.9106148124873215,6.050112051484519,84026,1154842576
2016-06-22 01:30:00,4.434721507349426,4.450658812146726,5.95097035240943,5.630018631971094,1.45128675995438,4.312991860202086,182650,1330957202
2016-06-22 02:00:00,3.831655919240013,3.8322589275151806,5.929760556286917,5.671956917603048,1.3819306531543627,3.558384512891427,243586,1700303016
2016-06-22 02:30:00,5.837643227875629,5.8026248430374325,5.823914515094163,5.18678300718825,1.7151837406383157,5.723582017349016,83148,1319912100
2016-06-22 03:00:00,5.866958592692083,5.928574003667997,5.935194097918578,5.155022196755732,1.5981341297263842,6.771615782542651,95044,4292304136
2016-06-22 03:30:00,5.871915037351071,5.956527732631767,6.030212213526668,5.094085906937575,1.757296998431614,6.71552253055332,92390,4023597114
2016-06-22 04:00:00,5.608724319719894,5.662112623173017,6.060175133657166,5.280125308837484,1.7719324158114091,6.548221723903496,104072,4494108556
2016-06-22 04:30:00,4.723338860988741,4.745063704360437,6.125469624056645,5.198553324861342,1.6888942105918858,5.505320807527859,153950,4178782366
2016-06-22 05:00:00,6.0188810909701465,5.981684001512646,5.875383822607553,4.938808012046264,1.7205798588775594,6.045526476319646,67090,1354896370
2016-06-22 05:30:00,5.851816564898046,5.8456389923793175,5.897252098750435,5.064558974569911,1.7706564909347002,5.943870232911625,68750,1014704568
2016-06-22 06:00:00,5.734171975874306,5.766666645350675,5.932182446636034,5.221473512710365,1.7256657035172955,5.973541378694795,75934,1244968490
2016-06-22 06:30:00,5.975351320453182,6.022612603693561,5.768498621706868,5.086097669247777,1.5032830892698301,6.10271245404639,67508,1415164540
2016-06-22 07:00:00,5.793570804471959,5.883421467641084,5.809240193492309,5.195624622221335,1.5041913333927885,6.577761311026919,83040,1585266780
2016-06-22 07:30:00,5.764279951970132,5.845609536312795,5.798522478450019,5.210527044542126,1.433462750173742,6.60506643940696,78314,1919066528
2016-06-22 08:00:00,5.722213737712181,5.81263347998006,5.8533567066716925,5.409550469509991,1.4335716848421498,6.931181984192777,117814,3195282552
2016-06-22 08:30:00,5.999646696952444,6.08693013480875,5.913041599984342,5.3880657983429,1.6931094955202524,7.032361973561632,104272,3146678548
2016-06-22 09:00:00,5.8607867211854,6.50803200904258,6.2834670367326755,5.192014555806362,1.762886514851437,6.890670297113995,119144,4101460384
2016-06-22 09:30:00,5.533658295659318,5.637484972031738,5.696964156616852,5.555807401535462,1.779098808760197,6.951683563446332,109774,4333889698
2016-06-22 10:00:00,5.522865007663997,5.612362477111923,5.871743869764534,5.569372131670591,1.6219743962714657,7.114906632183955,134172,5078456138
2016-06-22 10:30:00,5.605371668734331,5.69433739038747,5.905399794825644,5.507515399927947,1.6571075338498822,7.195816312482013,120768,4462991310
2016-06-22 11:00:00,5.546963065382844,5.65573812120814,5.851260905016559,5.496398402618605,1.6436551554308043,7.529576127329733,130082,10987435086
2016-06-22 11:30:00,5.529958008753627,5.625527645406274,5.841700969669979,5.4314951970199115,1.6018131029258065,7.216962213978978,110454,4973334018
2016-06-22 12:00:00,5.744531191948431,5.8267546458284425,5.927044815085705,5.526138878866015,1.7420844078647015,7.409242837678317,114016,5412578952
2016-06-22 12:30:00,5.678182958451503,5.760216481867305,5.839832523093575,5.479026636237904,1.5938431508762463,7.280505154659786,120128,6289092628
2016-06-22 13:00:00,5.443097011234278,6.1259680878331,5.711745311992968,5.08179762332283,1.6973459225191283,6.870232138776093,141046,7592907028
2016-06-22 13:30:00,5.406090369618394,5.503293679712342,5.850431290977188,5.532290677442891,1.5149644407418934,7.147987934203591,117426,6222151234
2016-06-22 14:00:00,5.272974033971195,5.3949689051042435,5.835446533564133,5.438112449305895,1.4882019033363778,7.024859916103307,116342,4666833776
2016-06-22 14:30:00,5.179160765891154,5.282709350769424,5.831886562262143,5.44297357013687,1.4669337791772037,6.821206783145623,111896,2624051438
2016-06-22 15:00:00,4.302756054187217,4.3715378522225805,5.9033582420268775,5.646349167670324,1.5009123387210084,5.322573359039933,203050,3304183506
2016-06-22 15:30:00,5.450901815864145,5.568120564158983,5.866291700078776,5.4191112381402915,1.778863403979721,6.294932649641502,98270,2335932044
2016-06-22 16:00:00,5.942524194773047,5.926367092833036,5.962761938767551,5.5538254152799205,1.4298973064541143,6.451268660517622,175252,3268461046
2016-06-22 16:30:00,6.017453562570935,5.988268259019811,5.989725941509999,5.577076754670079,1.3236337437022971,6.638344150093512,197640,5581728452
2016-06-22 17:00:00,5.934718846926673,5.905275918277759,6.014276005895732,5.640711952179042,1.3533592375352264,7.024694323937532,234716,4964725848
2016-06-22 17:30:00,4.953336956587297,4.933225406361296,6.008455943845071,5.732661154504727,1.4165751341701507,6.226791258752339,328630,12389999120
2016-06-22 18:00:00,5.97368774805627,5.939719102698313,6.0051886453028,5.594502710358153,1.4619786073763645,7.272946138635162,200918,5362883992
2016-06-22 18:30:00,5.918931872969113,5.91699775671014,5.993811872038448,5.629416926555457,1.6916389876455367,6.910220719619665,199816,7315293710
2016-06-22 19:00:00,6.002920401216993,6.010665058660107,5.978797311143126,5.583891792559817,1.6445906449700682,7.143775386599452,166722,6345090904
2016-06-22 19:30:00,5.785999586606328,5.795602509060922,5.9658841701123695,5.541555445849115,1.5547086937969832,6.471245497776252,177730,16845596636
2016-06-22 20:00:00,5.373038315950036,5.443846922199802,5.941021250010718,5.545361427207752,1.6156255276870248,6.089912079984388,163064,2951755724
2016-06-22 20:30:00,4.55661481001964,4.636213755484205,5.857879498751641,5.503285026926835,1.5405552316455384,5.5799854262090065,156364,2487214026
2016-06-22 21:00:00,5.217853091336979,5.3327512149895995,5.834142516476931,5.2947136159194494,1.6964402203039732,6.078676554758097,97648,2312933734
2016-06-22 21:30:00,5.005067167373592,5.1182770244227855,5.864475212984786,5.378259144549818,1.5939426279828095,5.942220426139726,108866,2855737630
2016-06-22 22:00:00,4.98634288608525,5.081304878008573,5.872182312294129,5.396004403082851,1.4248056348079923,5.807947806383666,105170,1569694222
